ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
4093;PR;MARINGA;MGA JA098D R PIO ANTANIA A TEIXEIRA-552;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-22988;-431519;0;N„o;0;0
ACG;GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;Instalado;2018-03-08 17:08:38 UTC;2019-05-01 20:25:39 UTC;-168208455;-492434712;RUA S DOMINGOS Q 1, 6/7, SETOR CENTRAL, APARECIDA DE GOIANIA - GO 74980900;N„o;Sala, Sala, Sala, Sala;ANDAR/ACG/TT/01, ANDAR/ACG/TT/02, EST/ACG/NI/NI
AGF;MG;AGUAS FORMOSAS;AGUAS FORMOSAS;Instalado;2014-04-05 20:46:04 UTC;2014-04-05 20:46:04 UTC;-170815224;-409359063;RUA ALVIM COUTO, 155, CENTRO, AGUAS FORMOSAS - MG 39880000;N„o;Sala, Sala;Datacom, TRANSMISSAO - TERREO
AGO;PB;ALAGOA NOVA;ALAGOA NOVA;Instalado;2014-04-05 19:37:31 UTC;2014-04-05 19:37:31 UTC;-70616667;-357580556;0;N„o;Sala, Sala;Datacom, EQUIPAMENTOS CX E TX / TERREO
AGVY;SC;BLUMENAU;AGUA VERDE - BLUMENAU;Instalado;2016-08-21 15:07:06 UTC;2020-05-26 14:30:54 UTC;-269058892;-491311394;RUA GEN OSORIO, 3927, AGUA VERDE, BLUMENAU - SC 89042001 ;N„o;Sala, Sala, Sala;ANDAR/AGVY/TT/001, ANDAR/AGVY/TT/01
AIR;AL;ARAPIRACA;ARAPIRACA;Instalado;2014-04-03 00:00:00 UTC;2021-02-16 14:28:15 UTC;-97549494;-36661636;RUA FERNANDES LIMA, S/N, CENTRO, ARAPIRACA - AL 99999999;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;1¬∞ ANDAR - TX, AIR02_COMUTACAO-TROPICO RA, ANDAR/AIR/01/SMP, COMUNICACAO  DE DADOS /1ANDAR, Comunicacao de Dados, Datacom, EST/AIR/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO-1 / 1 ANDAR, TRANSMISSAO-2 / TERREO
AJU;SE;ARACAJU;ARACAJU;Instalado;2014-04-03 14:08:00 UTC;2020-02-21 18:51:20 UTC;-109165552;-370542268;RUA LAGARTO, S/N, CENTRO, ARACAJU - SE 49010390;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;4¬∫ ANDAR / TX, BACK BONE II NACIONAL, Datacom, EST/AJU/NI/NI, MGW_ALCATEL / 4¬∞ ANDAR, Metro, Newbridge, RMS, TRANSMISSAO - 4 ANDAR(403), TRANSMISS√ÉO - TERREO, TX
ALD;PI;ANGICAL DO PIAUI;ANGICAL;Instalado;2014-04-05 19:37:10 UTC;2014-04-05 19:37:10 UTC;-60858444;-427384337;0;N„o;Sala, Sala, Sala, Sala, Sala;CX_DMX 1000 - TERREO, Datacom, EST/ALD/NI/NI, TRANSMISSAO - TERREO, TRANSMISS√ÉO
ALG;RS;ALEGRETE;ALEGRETE;Instalado;2021-05-06 18:04:42 UTC;2021-05-07 13:30:16 UTC;-29783337;-557933082;RUA GASPAR MARTINS, 179, CENTRO, ALEGRETE - RS 97542000 ;N„o;Sala, Sala, Sala, Sala;ANDAR/ALG/01/TX, ANDAR/ALG/03/TX, EST/ALG/NI/NI, GPON
ALM;CE;ITAREMA;ALMOFALA;Instalado;2014-04-05 19:37:24 UTC;2014-04-05 19:37:24 UTC;-29469559;-398202496;RUA JOAO AGOSTINHO NASCIMENTO, 360, CENTRO, ITAREMA - CE 62592000;N„o;Sala, Sala;Datacom, TRANSMISSAO - TERREO
ALP;MG;ALPERCATA;ALPERCATA;Instalado;2014-04-05 20:45:44 UTC;2014-04-05 20:45:44 UTC;-189891667;-419919444;RUA VEREADOR FANI, SN, CENTRO, ALPERCATA - MG 35138000;N„o;Sala, Sala, Sala;Datacom, EST/ALP/NI/NI, TRANSMISSAO - TERREO
ALV;GO;GOIANIA;GOIANIA ALVORADA-SAC;Instalado;2016-08-21 15:07:06 UTC;2021-10-14 20:56:27 UTC;-167058106;-49308528;RUA TURIM Q 2, 20, VILA ALVORADA, GOIANIA - GO 74315380 ;N„o;Sala, Sala, Sala, Sala;ANDAR/ALV/TT/01, EST/ALV/NI/NI, TRANSMISSAO, TX
AMA;RR;AMAJARI;AMAJARI;Instalado;2014-04-05 19:37:26 UTC;2014-04-05 19:37:26 UTC;36525;-614158333;RUA JOSE PEREIRA DA SILVA, 100, CENTRO, AMAJARI - RR 69343000;N„o;Sala;TRANSMISSAO - 1 ANDAR
AMP;PA;MARABA;AMAPAZINHO   MARABA II;Instalado;2014-04-05 19:37:28 UTC;2020-01-13 12:38:25 UTC;-53672935;-49125621;AVENIDA SOL POENTE, 1200, CIDADE NOVA, MARABA - PA 68501670;N„o;Sala, Sala, Sala, Sala, Sala;CX_TROPICO RA_MBA02/TERREO, Datacom, EST/AMP/NI/NI, Newbridge, TRANSMISSAO - TERREO
AND;PR;ANDIRA;ANDIRA;Instalado;2021-05-13 12:14:13 UTC;2021-07-22 17:54:24 UTC;-230513979;-502321514;RUA BAHIA, 384, CENTRO, ANDIRA - PR 86380000 ;N„o;Sala, Sala, Sala, Sala;ANDAR/AND/TT/01, ANDAR/AND/TT/TX, Equipamentos
ANL;MA;SAO LUIS;ANIL;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:26:41 UTC;-25525981;-442246506;RUA HERMENEGILDO, 86, AURORA, SAO LUIS - MA 65060190 ;Sim;Sala, Sala, Sala;EST/ANL/NI/NI
ANN;PA;BELEM;ANANINDEUA;Instalado;2014-04-05 19:37:33 UTC;2020-11-18 11:15:25 UTC;-13853975;-484099164;RODOVIA MARIO COVAS, 73, COQUEIRO, BELEM - PA 66650000;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANN02_COMUTACAO-TROPICO RA, ANN03_COMUTACAO-AXE, DADOS/TERREO, Datacom, EST/ANN/NI/NI, HISTORICO, Metro, Newbridge, SUPERVISaO, TRANSMISSAO - TERREO, TX / TERREO
ANS;GO;ANAPOLIS;ANAPOLIS CENTRO;Instalado;2020-04-01 11:17:01 UTC;2020-05-08 19:28:46 UTC;-163307532;-489566433;RUA SEN SOCRATES M DINIZ, 101, SETOR CENTRAL, ANAPOLIS - GO 75025020;N„o;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ANS/01/01, ANDAR/ANS/01/02, ANDAR/ANS/01/DS, ANDAR/ANS/01/TX, EST/ANS/NI/NI
APCL;PR;ARAPONGAS;AV ARAPONGAS, 871 - Arapongas;Instalado;2022-08-22 15:14:16 UTC;2022-11-01 20:03:16 UTC;-234103512;-514373075;AVENIDA ARAPONGAS, 871, CENTRO, ARAPONGAS - PR 86700050 ;N„o;Sala, Sala, Sala;ANDAR/APCL/TT/01, ANDAR/APCL/TT/TX
APND;PR;APUCARANA;APUCARANA;Instalado;2022-03-31 20:19:48 UTC;2022-03-31 20:22:47 UTC;-23554536;-514613463;RUA DR NAGIB DAHER, 649, CENTRO, APUCARANA - PR 86800040 ;N„o;Sala, Sala, Sala;ANDAR/APND/01/TX, ANDAR/APND/TT/01, EQTO
ARBU;RJ;ARMACAO DOS BUZIOS;ARMACAO DE BUZIOS I;Instalado;2014-04-05 20:53:09 UTC;2018-12-11 19:10:10 UTC;-227694956;-41901751;SITIO CAMPINHO, SN, ALTO BUZIOS, ARMACAO DOS BUZIOS - RJ 28950000;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ARB01_COMUTACAO-TROPICO RA, ARB02_COMUTACAO-ZTX-610-TERREO, COMUNICACAO DE DADOS 1 ANDAR, Datacom, EST/ARBU/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 1 ANDAR, TROPICO R - 2623 / 1 ANDAR
ARC;PR;ARAUCARIA;ARC;Instalado;2023-04-13 11:36:39 UTC;2023-07-24 11:01:08 UTC;-25606424;-4937307;RUA PEDRO BURKOWSKI, 813, COSTEIRA, ARAUCARIA - PR 83709260 ;N„o;Sala;0
ARI;MG;ARAGUARI;ARAGUARI;Instalado;2014-04-05 20:45:40 UTC;2019-07-03 18:29:36 UTC;-186492578;-481927746;AVENIDA CORONEL TEODOLINO P ARAUJO, 1243, CENTRO, ARAGUARI - MG 38440062;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/ARI/NI/NI, HISTORICO, Metro, Newbridge, RMS, SALA 1, TRANSMISSAO - TERREO, TRANSMISS√ÉO - TERREO
ARS;RJ;ANGRA DOS REIS;ANGRA DOS REIS I;Instalado;2014-04-05 20:53:10 UTC;2018-07-25 14:19:20 UTC;-230074675;-443184042;AVENIDA RAUL POMPEIA, 97, CENTRO, ANGRA DOS REIS - RJ 23900425;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 5 ANDAR, Datacom, EST/ARS/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RADIOS ANATEL, RMS, TRANSMISSAO- 2 ANDAR, TRANSMISSAO- 5 ANDAR, TRANSMISS√ÉO, TX - 2¬∫ ANDAR, TX / 4¬∫ AND
ATCA;PR;ALMIRANTE TAMANDARE;ATT/CACHOEIRA R PJD F;Instalado;2016-08-21 15:07:06 UTC;2019-05-23 14:16:27 UTC;-253375717;-492681141;RUA PROF TEREZINHA CAMARGO, 89, VL CACHOEIRA, ALMIRANTE TAMANDARE - PR 83504580;N„o;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ATCA/TT/01, ANDAR/ATCA/TT/TX, EST/ATCA/NI/NI, TRANSMISSAO
ATG;PR;ASTORGA;ASTORGA;Instalado;2022-08-02 13:49:04 UTC;2026-06-10 14:11:00 UTC;-232372424;-516614003;RUA JOSE ABRAHAO KEIDE, 641, CENTRO, ASTORGA - PR 86730000 ;N„o;Sala, Sala, Sala, Sala;ANDAR/ATG/01/TX, ANDAR/ATG/TT/01, ANDAR/ATG/TT/TXD
AUCE;MS;AQUIDAUANA;AUCE;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-204761111;-557944444;0;N„o;Sala, Sala;ANDAR/AUCE/TT/1CD, ANDAR/AUCE/TT/1TX
AUXI;PR;ARAUCARIA;ARAUC√ÅRIA;Instalado;2021-05-10 11:35:33 UTC;2021-05-12 19:51:29 UTC;-255531878;-493709176;RUA DR JOSE CZAKI, 99, CHAPADA, ARAUCARIA - PR 83707744 ;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/AUXI/TT/01, ANDAR/AUXI/TT/TX, EST/AUXI/NI/NI
AVA;RS;ALVORADA;ALVORADA;Instalado;2014-04-05 22:18:51 UTC;2019-09-04 17:29:15 UTC;-299961738;-51075759;RUA SANTIAGO, 236, SUMARE, ALVORADA - RS 94824130 ;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/AVA/01/TX, ANDAR/AVA/TT/TX, EST/AVA/NI/NI
AZE;RS;PORTO ALEGRE;AZENHA;Instalado;2018-07-12 21:14:50 UTC;2018-07-12 21:16:23 UTC;-300510421;-512118535;0;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/AZE/01/TX, ANDAR/AZE/TT/CD, ANDAR/AZE/TT/TX, EST/AZE/NI/NI
BAJC;ES;VILA VELHA;BARRA DO JUCU;Instalado;2014-04-05 20:45:32 UTC;2022-11-03 11:34:58 UTC;-204221904;-403281876;RUA PROFESSOR JOAO CARDOSO, SN, BARRA JUCU, VILA VELHA - ES 29125040 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/BAJC/NI/NI, EVVA2_COMUTACAO_ELR_AXE, Metro, TERREO - TX, TRANSMISSAO-TERREO
BAR;MG;BELO HORIZONTE;BARROCA;Instalado;2014-04-05 20:46:09 UTC;2023-12-19 11:17:28 UTC;-199319078;-439668592;RUA JAPAO, 74, ALTO BARROCA, BELO HORIZONTE - MG 30431048 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;332, 334, Datacom, EST/BAR/NI/NI, Metro, Newbridge, PCM1, PCM2/DADOS, RMS, TRANSMISSAO - TERREO, TRANSMISS√ÉO, TX, TX - 2¬∫ ANDAR
BCI;MG;BELO HORIZONTE;BARREIRO DE CIMA;Instalado;2014-04-05 20:46:09 UTC;2022-08-08 20:07:11 UTC;-199911809;-440078178;AVENIDA OLINTO MEIRELES, 2400, BARREIRO, BELO HORIZONTE - MG 30640010;N„o;Sala, Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, Metro, PRESSURIZACAO, TERREO - TX
BCL;MG;JUIZ DE FORA;BOM CLIMA;Instalado;2014-04-05 20:46:04 UTC;2020-09-16 15:15:05 UTC;-217372124;-433556481;0;N„o;Sala, Sala, Sala, Sala, Sala;Datacom, EST/BCL/NI/NI, Metro, RMS, TRANSMISSAO - TERREO
BDEA;BA;SALVADOR;BOLANDEIRA;Instalado;2014-04-03 14:07:55 UTC;2023-12-19 11:23:47 UTC;-129707793;-384385439;RUA DOS COLIBRIS, 235, IMBUI, SALVADOR - BA 41720060 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;2¬∞ANDAR- TX, 7IP BDEA_COMUTACAO_TROPICO, BACKBONE II-2¬∫ ANDAR, DADOS - 2¬∫ ANDAR, DADOS/TX 2 ANDAR, Datacom, EST/BDEA/NI/NI, HUAWEI - NGN / 2 ANDAR, LUCENT - IVR / 1 ANDAR, Metro, Newbridge, OI, RMS, TRANSMISSAO - 2 ANDAR (NOVA), TRANSMISSAO - 2 ANDAR (VELHA), TRANSMISSAO - TERREO, TRANSMISS√ÉO, TRANSMISS√ÉO, TRANSMISS√ÉO - 6¬∫ AND, TX / 1¬∫ANDAR, TX / 2¬∫ ANDAR
BEL;MG;BELO HORIZONTE;BELVEDERE;Instalado;2012-03-23 00:00:00 UTC;2023-08-30 16:49:50 UTC;-199696479;-439429338;AVENIDA PAULO CAMILO PENA, 292, BELVEDERE, BELO HORIZONTE - MG 30320380 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EQTOS, EST/BEL/NI/NI, GPOM / T√âRREO, Metro, Newbridge, PRESSURIZACAO, Sala 1, TERREO - TX
BERO;RJ;BELFORD ROXO;BELFORD ROXO I;Instalado;2014-04-05 20:53:17 UTC;2019-09-06 17:36:01 UTC;-22753233;-434033923;ESTRADA BENTO JOSE MARTINS SILVARES, 595, PIAM, BELFORD ROXO - RJ 26112180;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 4 ANDAR, Datacom, EST/BERO/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 4 ANDAR, TX / 4¬∫ANDAR
BES;BA;BARREIRAS;BARREIRAS;Instalado;2019-03-08 11:21:41 UTC;2019-03-13 17:44:42 UTC;-121496862;-449971973;RUA DOUTOR ABILIO FARIAS, 455, RENATO GONCALVES, BARREIRAS - BA 47806092, RUA DOUTOR ABILIO FARIAS, 455, RENATO GONCALVES, BARREIRAS - BA 47806092;N„o;Sala;EST/BES/NI/NI
BET;MG;BETIM;BETIM;Instalado;2014-04-05 20:46:10 UTC;2019-03-04 11:09:09 UTC;-199694029;-442001148;AVENIDA PRESIDENTE KUBITSCHEK, 162, CENTRO, BETIM - MG 32600226;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;BET03_COMUTACAO-TROPICO RA, DADOS, Datacom, EQUIPAMENTOS, HUAWEI - NGN, Metro, Newbridge, RMS, TX
BGE;MG;JUIZ DE FORA;BADY GEARA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-214551;-43211;0;N„o;0;0
BGR;SP;BARUERI;BVILLE GRAJAU;Instalado;2015-09-24 12:09:06 UTC;2021-05-28 14:41:38 UTC;-233038;-465234;ALAMEDA GRAJAU, 321, ALPHAVILE INDUSTRIAL, BARUERI - SP 6454050 ;N„o;Sala, Sala;EST/BGR/NI/NI, SALA TX
BGU;MG;BELO HORIZONTE;BERNARDO GUIMAR√ÉES;Instalado;2012-03-23 00:00:00 UTC;2022-09-12 17:58:09 UTC;-19927627;-43945511;RUA BERNARDO GUIMARAES, 2258, LOURDES, BELO HORIZONTE - MG 30140087;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS DXX (AT), DADOS E1, DADOS NOVA- NWB, Datacom, EST/BGU/NI/NI, HUAWEI - NGN, Metro, M√≥vel, Newbridge, PCM 6 NOV - 3¬∫ ANDAR, PCM NOVA (AT), PCM VELHA (AT), RMS, Sala 1, T, TERREO - TX, TRANSMISS√ÉO - TERREO
BGV;RS;BENTO GONCALVES;BENTO GON«ALVES;Instalado;2022-08-16 14:08:49 UTC;2022-10-18 20:14:56 UTC;-291661719;-515140608;RUA DR JOSE MARIO MONACO, 215, CENTRO, BENTO GONCALVES - RS 95700066 ;N„o;Sala, Sala, Sala;ANDAR/BGV/01/CD, ANDAR/BGV/01/TX
BJK;GO;ANAPOLIS;ANAPOLIS BRO JK-SAC;Instalado;2021-12-13 12:58:11 UTC;2021-12-13 14:00:25 UTC;-163452691;-489384796;RUA 8 Q 25, SN, Lote 21/22, JK PQ IND NOVA CAPIT, ANAPOLIS - GO 75114275;N„o;Sala, Sala;ANDAR/BJK/TT/01
BMA;GO;ANAPOLIS;ANAPOLIS BRO MARACANA-SAC;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-22988;-431519;0;N„o;Sala, Sala;ANDAR/BMA/TT/01, EST/BMA/NI/NI
BNU;SC;BLUMENAU;BLUMENAU;Instalado;2018-12-11 18:41:26 UTC;2022-02-01 19:41:18 UTC;-269177049;-49064902;RUA REPUBLICA ARGENTINA, 33, PONTA AGUDA, BLUMENAU - SC 89050101 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/BNU/01/001TX, ANDAR/BNU/01/CD, ANDAR/BNU/01/CD NOVA, ANDAR/BNU/01/TX, ANDAR/BNU/02/TX, ANDAR/BNU/TT/001 CD, ANDAR/BNU/TT/009 TX, ANDAR/BNU/TT/01, EST/BNU/NI/NI, GSM, SMP
BOBT;RJ;RIO DE JANEIRO;BOBT - BOTAFOGO ELI;Instalado;2017-11-16 00:00:00 UTC;2018-03-15 15:09:16 UTC;-229551751;-431825153;RUA ARNALDO QUINTELA, 41, BOTAFOGO, RIO DE JANEIRO - RJ 22280070;N„o;0;0
BOD;AL;BOCA DA MATA;[BOD] - ESTACAO BOD;Instalado;2014-04-03 14:07:59 UTC;2014-04-03 14:07:59 UTC;-96427154;-362170652;PRACA ONZE NOVEMBRO, SN, CENTRO, BOCA DA MATA - AL 57680000;N„o;Sala, Sala, Sala;Datacom, TRANSMISSAO - TERREO, Transmissao
BOT;MG;BELO ORIENTE;BELO ORIENTE;Instalado;2014-04-05 20:46:01 UTC;2014-04-05 20:46:01 UTC;-192233333;-424855556;PRACA NOSSA SENHORA PIEDADE, SN, CENTRO, BELO ORIENTE - MG 35195000;N„o;Sala, Sala, Sala;Datacom, EST/BOT/NI/NI, TRANSMISSAO-TERREO
BPI;RJ;BARRA DO PIRAI;BARRA DO PIRAI I;Instalado;2014-04-05 20:52:59 UTC;2021-04-29 17:18:24 UTC;-224707127;-438264828;RUA PAULO FRONTIN, 99, CENTRO, BARRA DO PIRAI - RJ 27123120;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/BPI/TERREO/00, COMUNICACAO DE DADOS 1 ANDAR, Datacom, ELR-II /ARC-2550/ AXE/4 ANDAR, EST/BPI/NI/NI, HUAWEI - NGN / 4 ANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, SL 118-TRANSMISS√ÉO, TRANSMISSAO - 1 ANDAR
BQE;RR;ALTO ALEGRE;BOQUEIRAO;Instalado;2014-04-05 19:37:29 UTC;2014-04-05 19:37:29 UTC;32830556;-612925;0;N„o;0;0
BRB;RS;BARAO;BRB;Instalado;2023-01-07 00:00:00 UTC;2023-01-07 00:00:00 UTC;-293769444;-514955556;0;N„o;Sala;ANDAR/BRB/01/TX
BRRR;BA;SALVADOR;BARROS REIS;Instalado;2014-04-03 14:07:55 UTC;2023-12-20 11:08:16 UTC;-129712653;-384897003;RUA BERNARDO SPECTOR, 80, VL LAURA, SALVADOR - BA 40270220 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP BRRR_COMUTACAO_TROPICO, BRRR5_COMUTACAO-AXE, DADOS, Datacom, EST/BRRR/NI/NI, HUAWEI - NGN, Metro, Newbridge, RMS, TRANSMISSAO, TRANSMISSAO - TERREO, TRANSMISSAO/ 1ANDAR, TRANSMISS√ÉO-6¬∫ ANDAR, TRANSMISS√ÉO/1¬∞ANDAR
BRS;MG;SANTA LUZIA;BRASILIA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-194734;-435616;0;N„o;0;0
BRSU;SC;BALNEARIO CAMBORIU;BARRA SUL;Instalado;2022-01-25 17:18:08 UTC;2023-07-04 17:33:48 UTC;-270040287;-486230474;RUA 3610, 193, CENTRO, BALNEARIO CAMBORIU - SC 88330245 ;N„o;Sala, Sala, Sala;ANDAR/BRSU/TT/001
BT;RR;BOA VISTA;BURITIS;Instalado;2014-04-05 19:37:25 UTC;2023-12-20 12:57:49 UTC;28224576;-607067236;RUA JOAO PADEIRO, 1732, BURITIS, BOA VISTA - RR 69309195 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP BT_COMUTACAO_TROPICO, BTO01_COMUTACAO-TGW7510, Datacom, EST/BT/NI/NI, HUAWEI - NGN, MPI, Metro, Newbridge, RMS, SATELITE - TERREO, TRANSMISSAO, TRANSMISSAO - TERREO, TRANSMISS√ÉO
BTJ;RJ;RIO DE JANEIRO;BARRA DA TIJUCA;Instalado;2012-07-04 00:00:00 UTC;2015-12-04 15:17:00 UTC;-230076526;-433056186;AVENIDA ARMANDO LOMBARDI, 75, BARRA DA TIJUCA, RIO DE JANEIRO - RJ 22640020;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNI. DE DADOS 1 ANDAR S02, COMUNI. DE DADOS 2 ANDAR S01, Datacom, EST/BTJ/NI/NI, GPON / 2¬∫ANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, Sala 1, TRANSMISSAO - 1 ANDAR, TX, TX / T√âRREO, ZTX-610 / 2420-3 / 2ANDAR
BVA;RR;BOA VISTA;BOA VISTA;Instalado;2018-02-24 23:06:48 UTC;2018-02-24 23:06:48 UTC;311786;-6071799;0;N„o;0;0
BVT;GO;GOIANIA;BELA VISTA;Instalado;2016-08-21 15:07:06 UTC;2020-08-12 14:19:18 UTC;-167168853;-492609381;0;N„o;Sala, Sala, Sala;ANDAR/BVT/TT/01, ANDAR/BVT/TT/TX, EST/BVT/NI/NI
CABJ;SC;FLORIANOPOLIS;CACHOEIRA DO BOM JESUS;Instalado;2022-11-04 00:00:00 UTC;2023-08-28 11:58:24 UTC;-27424129;-48435283;SERVIDAO MARIA SERAFINA DE OLIVEIRA, 160, CACHOEIRA BOM JESUS, FLORIANOPOLIS - SC 88056200 ;N„o;Sala, Sala, Sala, Sala;ANDAR/CABJ/TT/001, ANDAR/CABJ/TT/002
CACE;MS;CAMAPUA;CAMAPUA;Instalado;2018-04-24 16:26:52 UTC;2018-04-24 16:30:23 UTC;-195318;-540443;0;N„o;0;0
CAH;PA;CASTANHAL;CASTANHAL;Instalado;2014-04-05 19:37:26 UTC;2021-12-13 17:38:16 UTC;-12944803;-479242243;AVENIDA MAXIMINO PORPINO DA SILVA, 1518, CENTRO, CASTANHAL - PA 68743000;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CAH01_COMUTACAO-TROPICO RA, CG, CG, Datacom, EST/CAH/NI/NI, Metro, Newbridge, RADIOS ANATEL, TRANSMISSAO - TERREO, TRANSMISS√ÉO
CAHE;SC;FLORIANOPOLIS;CAMPECHE;Instalado;2022-11-04 00:00:00 UTC;2023-05-30 10:59:59 UTC;-27682275;-484911972;AVENIDA PEQUENO PRINCIPE, 2031, Loja 3, CAMPECHE, FLORIANOPOLIS - SC 88063000 ;N„o;Sala, Sala;ANDAR/CAHE/TT/001
CAM;RS;CAMAQUA;CAMAQUA-SAC;Instalado;2016-08-21 15:07:06 UTC;2021-06-28 20:59:21 UTC;-3085303;-5181397;RUA MAL FLORIANO, 273, CENTRO, CAMAQUA - RS 96780034;N„o;Sala, Sala, Sala, Sala;ANDAR/CAM/01/TX, ANDAR/CAM/TT/TX, EQPTO, TX
CAN;MG;BOM DESPACHO;EMPRESA BRASILEIRA DE TELECOMUNICACOES S;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-194411;-45158;0;N„o;0;0
CARB;DF;BRASILIA;CARB;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-15.75;-478794444;0;N„o;0;0
CAS1;DF;BRASILIA;CAS1;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-157983333;-479230556;0;N„o;0;0
CAX;MG;CAXAMBU;CAXAMBU;Instalado;2014-04-05 20:45:29 UTC;2021-08-20 17:34:02 UTC;-219794216;-449332046;RUA MAJOR PENHA, 271, CENTRO, CAXAMBU - MG 37440000 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;341, Datacom, EST/CAX/NI/NI, Metro, Newbridge, TRANSMISSAO, TRANSMISSAO-TERREO, TRANSMISS√ÉO - T√âRREO, TX / 1¬∫ANDAR
CBCH;MT;CUIABA;TEL CPA I/II CUIABA;Instalado;2022-04-29 16:52:15 UTC;2026-04-06 13:15:22 UTC;-155543916;-560561441;AVENIDA OSASCO, 382, EstaÁ„o PREDIAL, MORADA DA SERRA, CUIABA - MT 78055055 ;N„o;Sala, Sala, Sala;ANDAR/CBCH/01/TX, ANDAR/CBCH/TT/RDCN
